hour,nodes,edges,replies,retweets,quotes,interactions,independent,neutral,positive,negative,ntweets,per_neutral,per_positive,per_negative,indeg_pos,indeg_neg,indeg_neu
2016-05-12_13,64,28,2,25,1,28,15,18,19,6,43,0.4186046511627907,0.4418604651162791,0.13953488372093023,8.0,1.0,0.0
2016-05-12_14,648,410,41,340,17,398,184,240,200,142,582,0.41237113402061853,0.3436426116838488,0.24398625429553264,76.0,15.0,19.0
2016-05-12_15,1348,921,65,480,15,560,236,327,274,195,796,0.4108040201005025,0.3442211055276382,0.2449748743718593,134.0,33.0,75.0
2016-05-12_16,2547,1998,121,1004,43,1168,423,577,632,382,1591,0.3626649905719673,0.39723444374607164,0.24010056568196103,333.0,59.0,176.0
2016-05-12_17,3671,3201,136,1108,42,1286,384,578,690,402,1670,0.3461077844311377,0.41317365269461076,0.2407185628742515,559.0,165.0,303.0
2016-05-12_18,4662,4356,143,1102,49,1294,305,525,671,403,1599,0.32833020637898686,0.41963727329580985,0.25203252032520324,794.0,307.0,340.0
2016-05-12_19,5458,5333,132,918,36,1086,301,501,618,268,1387,0.361211247296323,0.44556596971881757,0.1932227829848594,961.0,397.0,370.0
2016-05-12_20,6225,6351,124,970,37,1131,310,491,724,226,1441,0.34073560027758504,0.5024288688410826,0.1568355308813324,1266.0,457.0,397.0
2016-05-12_21,7149,7537,142,1157,44,1343,405,548,836,364,1748,0.3135011441647597,0.4782608695652174,0.20823798627002288,1556.0,569.0,492.0
2016-05-12_22,7910,8553,134,989,54,1177,409,524,794,268,1586,0.33039092055485497,0.5006305170239597,0.16897856242118536,1840.0,594.0,659.0
2016-05-12_23,8209,9003,53,482,18,553,145,254,328,116,698,0.3638968481375358,0.4699140401146132,0.166189111747851,1996.0,607.0,714.0
2016-05-13_00,8387,9201,24,206,5,235,123,154,125,79,358,0.4301675977653631,0.34916201117318435,0.2206703910614525,2055.0,613.0,753.0
2016-05-13_01,8486,9348,26,154,1,181,39,80,91,49,220,0.36363636363636365,0.41363636363636364,0.22272727272727272,2083.0,617.0,779.0
2016-05-13_02,8582,9455,11,110,3,124,43,56,73,38,167,0.33532934131736525,0.437125748502994,0.2275449101796407,2106.0,625.0,805.0
2016-05-13_03,8624,9513,2,63,1,66,20,25,39,22,86,0.29069767441860467,0.45348837209302323,0.2558139534883721,2121.0,636.0,811.0
2016-05-13_04,8727,9640,9,142,1,152,70,48,105,69,222,0.21621621621621623,0.47297297297297297,0.3108108108108108,2162.0,647.0,830.0
2016-05-13_05,9069,10053,20,432,7,459,146,164,203,238,605,0.27107438016528923,0.33553719008264465,0.3933884297520661,2217.0,740.0,908.0
2016-05-13_06,9612,10761,66,731,24,821,318,349,511,279,1139,0.3064091308165057,0.4486391571553995,0.24495171202809482,2397.0,801.0,976.0
2016-05-13_07,10363,11756,114,992,60,1166,444,563,662,385,1610,0.34968944099378885,0.4111801242236025,0.2391304347826087,2661.0,882.0,1060.0
2016-05-13_08,11248,12922,166,1146,69,1381,483,636,737,491,1864,0.34120171673819744,0.3953862660944206,0.263412017167382,2901.0,987.0,1162.0
2016-05-13_09,12308,14230,181,1253,65,1499,745,594,715,935,2244,0.2647058823529412,0.31862745098039214,0.4166666666666667,3137.0,1068.0,1337.0
2016-05-13_10,13217,15273,150,986,61,1197,627,609,558,657,1824,0.3338815789473684,0.3059210526315789,0.36019736842105265,3300.0,1170.0,1454.0
2016-05-13_11,14117,16492,192,1158,72,1422,568,607,843,540,1990,0.3050251256281407,0.4236180904522613,0.271356783919598,3627.0,1252.0,1531.0
2016-05-13_12,15010,17711,163,1270,50,1483,568,640,807,604,2051,0.3120429058995612,0.39346660165772795,0.29449049244271086,3961.0,1304.0,1658.0
2016-05-13_13,15691,18726,122,1065,46,1233,411,602,709,333,1644,0.3661800486618005,0.43126520681265207,0.20255474452554745,4273.0,1348.0,1753.0
2016-05-13_14,16233,19507,135,780,36,951,387,502,585,251,1338,0.375186846038864,0.437219730941704,0.187593423019432,4506.0,1383.0,1796.0
2016-05-13_15,16912,20678,160,1289,50,1499,416,627,938,350,1915,0.3274151436031332,0.48981723237597913,0.18276762402088773,4996.0,1460.0,1870.0
2016-05-13_16,17581,21834,150,1216,49,1415,350,520,864,381,1765,0.29461756373937675,0.48951841359773374,0.2158640226628895,5357.0,1552.0,1914.0
2016-05-13_17,18176,22971,182,1189,54,1425,363,529,903,356,1788,0.2958612975391499,0.5050335570469798,0.19910514541387025,5749.0,1653.0,1986.0
2016-05-13_18,18761,24030,128,1143,40,1311,307,511,762,345,1618,0.3158220024721879,0.47095179233621753,0.21322620519159455,6048.0,1760.0,2097.0
2016-05-13_19,19373,25054,139,1128,28,1295,327,460,838,324,1622,0.2836004932182491,0.5166461159062885,0.1997533908754624,6347.0,1844.0,2189.0
2016-05-13_20,19856,25935,129,993,36,1158,247,481,662,262,1405,0.3423487544483986,0.4711743772241993,0.18647686832740212,6634.0,1900.0,2288.0
2016-05-13_21,20299,26763,133,833,41,1007,279,450,601,235,1286,0.3499222395023328,0.46734059097978226,0.1827371695178849,6861.0,1939.0,2351.0
2016-05-13_22,20598,27435,79,734,48,861,135,322,489,185,996,0.3232931726907631,0.49096385542168675,0.1857429718875502,7089.0,1966.0,2399.0
2016-05-13_23,20745,27753,47,372,12,431,98,149,277,103,529,0.28166351606805295,0.5236294896030246,0.1947069943289225,7234.0,1978.0,2426.0
2016-05-14_00,20823,27951,21,231,9,261,64,95,184,46,325,0.2923076923076923,0.5661538461538461,0.14153846153846153,7321.0,1984.0,2439.0
2016-05-14_01,20871,28051,10,106,4,120,27,52,76,19,147,0.35374149659863946,0.5170068027210885,0.1292517006802721,7360.0,1985.0,2443.0
2016-05-14_02,20903,28144,0,109,0,109,22,24,87,20,131,0.183206106870229,0.6641221374045801,0.15267175572519084,7400.0,1986.0,2446.0
2016-05-14_03,20936,28219,3,90,1,94,20,38,63,13,114,0.3333333333333333,0.5526315789473685,0.11403508771929824,7428.0,1988.0,2448.0
2016-05-14_04,20994,28330,9,134,1,144,47,55,102,34,191,0.2879581151832461,0.5340314136125655,0.17801047120418848,7475.0,1991.0,2454.0
2016-05-14_05,21093,28530,22,223,9,254,129,103,208,72,383,0.2689295039164491,0.5430809399477807,0.18798955613577023,7543.0,1999.0,2463.0
2016-05-14_06,21372,29077,43,590,24,657,191,227,452,169,848,0.267688679245283,0.5330188679245284,0.19929245283018868,7712.0,2033.0,2530.0
2016-05-14_07,21783,29937,93,951,28,1072,302,388,762,224,1374,0.2823871906841339,0.5545851528384279,0.16302765647743814,8019.0,2071.0,2585.0
2016-05-14_08,22253,30832,113,921,52,1086,321,418,741,248,1407,0.2970859985785359,0.5266524520255863,0.17626154939587776,8277.0,2126.0,2654.0
2016-05-14_09,22753,31869,133,1146,82,1361,352,507,959,247,1713,0.29597197898423816,0.5598365440747227,0.14419147694103912,8654.0,2185.0,2767.0
